iter	Passed	Remaining
0	2	275
1	5	249
2	7	243
3	9	225
4	11	218
5	13	214
6	15	210
7	17	206
8	19	199
9	22	198
10	23	191
11	26	191
12	28	187
13	29	183
14	31	179
15	33	176
16	35	173
17	37	169
18	39	167
19	40	163
20	42	161
21	44	157
22	46	155
23	48	153
24	50	151
25	52	148
26	53	145
27	55	143
28	57	141
29	60	140
30	61	137
31	63	134
32	65	132
33	67	130
34	68	127
35	70	125
36	72	123
37	74	121
38	75	118
39	77	116
40	79	114
41	80	111
42	82	108
43	83	106
44	85	104
45	87	102
46	89	100
47	91	98
48	92	96
49	94	94
50	96	92
51	97	90
52	99	88
53	101	86
54	102	83
55	104	81
56	105	79
57	107	78
58	109	76
59	111	74
60	113	72
61	114	70
62	116	68
63	118	66
64	120	64
65	121	62
66	123	60
67	125	59
68	127	57
69	128	55
70	130	53
71	132	51
72	134	49
73	136	47
74	137	45
75	139	43
76	140	42
77	142	40
78	144	38
79	146	36
80	147	34
81	149	32
82	151	30
83	152	29
84	154	27
85	156	25
86	157	23
87	159	21
88	161	19
89	162	18
90	164	16
91	166	14
92	167	12
93	169	10
94	170	8
95	172	7
96	173	5
97	175	3
98	177	1
99	178	0
